Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
" UGREEN 3A USB Type C Cable For iPhone 17 16 Xiaomi Samsung Fast Charging Wire USB-C Charger Data Cord For iPad Poco USB C","cable",1,3.00,"https://www.aliexpress.com/item/1005006471612403.html?spm=a2g0o.detail.0.0.3d85F58iF58iWh&mp=1&pdp_npi=6%40dis%21USD%21USD+3.13%21USD+2.87%21%21USD+2.87%21%21%21%402103892f17772322480907278e0558%2112000056450580153%21ct%21UK%216733093931%21%211%210%21","ALiexpress"
"Pi pico","MCU",1,3.00,"https://www.aliexpress.com/item/1005005617180169.html?spm=a2g0o.productlist.main.2.4d785f4dapwCjI&algo_pvid=913608ac-6579-42e9-9a8c-706b9cba1fba&algo_exp_id=913608ac-6579-42e9-9a8c-706b9cba1fba-1&pdp_ext_f=%7B%22order%22%3A%225975%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.12%210.99%21%21%212.12%210.99%21%402103868817772319569232100edb1d%2112000039955164596%21sea%21UK%216733093931%21ABX%211%210%21n_tag%3A-29910%3Bd%3A730c9e73%3Bm03_new_user%3A-29895%3BpisId%3A5000000203572825&curPageLogUid=uMiuSRCoFOSS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005617180169%7C_p_origin_prod%3A","Aliexpress"
"Customization PCB Satellite Axis For Cherry Mechanical Keyboard OEM Plate mounted Black 6.25u 2u Stabilizers Modifier Keys","Stabalizers",1,6.00,"https://www.aliexpress.com/item/1005001686299616.html?spm=a2g0o.detail.0.0.61e1HUy8HUy8pd&mp=1&pdp_npi=6%40dis%21USD%21USD+6.42%21USD+5.94%21%21USD+5.94%21%21%21%402103892f17772318487426221e0558%2112000017133740377%21ct%21UK%216733093931%21%211%210%21","Aliexpress"
"125 Keys Minimalist White Japanese Keycaps For MX Switch Mechanical Keyboard Cherry Profile Dye Sublimation PBT Key Caps Custom","Keycaps",1,12.00,"https://www.aliexpress.com/item/1005009695266144.html?spm=a2g0o.productlist.main.7.66422840K067zj&algo_pvid=6f9ad089-6c02-401a-9f89-5bb11554cad5&algo_exp_id=6f9ad089-6c02-401a-9f89-5bb11554cad5-6&pdp_ext_f=%7B%22order%22%3A%2258%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2116.88%2110.42%21%21%2116.88%2110.42%21%40211b430817772315332023083ec4e0%2112000049879970262%21sea%21UK%216733093931%21ABX%211%210%21n_tag%3A-29910%3Bd%3A730c9e73%3Bm03_new_user%3A-29895%3BpisId%3A5000000203572830&curPageLogUid=n6jaXa30P5yE&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009695266144%7C_p_origin_prod%3A","AliExpress"
"100PCS do-35 1N4148 IN4148 High-speed switching diodes New In Stock","diodes",2,2.00,"https://www.aliexpress.com/item/1005008962041349.html?spm=a2g0o.productlist.main.4.2993236dem7NmH&algo_pvid=89640b64-f21f-410c-929d-243646cbc624&algo_exp_id=89640b64-f21f-410c-929d-243646cbc624-3&pdp_ext_f=%7B%22order%22%3A%22259%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.78%210.78%21%21%210.78%210.78%21%402103985c17772313047156514eb2ec%2112000047384222762%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A730c9e73%3Bm03_new_user%3A-29895&curPageLogUid=TPSj3bbLctze&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008962041349%7C_p_origin_prod%3A","Aliexpress"
"10~120Pc Original Cherry MX Mechanical Keyboard Switches Red Blue Brown Black Silver Pink Linear Tactile Cherry Clear RGB Switch","switches",1,24.00,"https://www.aliexpress.com/item/1005007907313874.html?spm=a2g0o.productlist.main.5.22912464RbhnMJ&algo_pvid=3103c40f-0696-474f-a3b9-1e5a44a2248d&algo_exp_id=3103c40f-0696-474f-a3b9-1e5a44a2248d-17&pdp_ext_f=%7B%22order%22%3A%22217%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%218.59%211.70%21%21%2111.24%212.22%21%40211b612517772311176042335ef5c7%2112000042798939688%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A730c9e73%3Bm03_new_user%3A-29895%3BpisId%3A5000000203712564&curPageLogUid=7ZZJ3L4R22EP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007907313874%7C_p_origin_prod%3A","ALiexpress"
"Pcb","Pcb",1,20.30,"https://jlcpcb.com/","jlcpcb"
